Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;70;7-512 6-11587;0;2.03;40000;Tochter1;nein;8;534.375;356.25;8.883;0.467;3.111;116.259;8.66;1.581;alt;0.00134;;10.6;22;37.9;1.15;5.1;;73;;246.2;62.36;9.7;135;107.2;;25;;12;0.4;0.1;0.65;0.06;;-0.19;2.27;2.22;2.55;0.53;-0.2;1.1;26.53;24.1;0.19;0.4;7.28;0.77;797.61;1966.9;;;;
Block 1;71;7-512 6-11476;0;2.03;40000;Tochter2;nein;8;534.375;356.25;8.883;0.467;3.111;116.529;8.66;1.581;alt;0.00134;;10.9;22.6;39;1.24;5.56;;72.2;;242;;10.1;137.1;109;;25.3;;12.3;0.6;0.7;;0.5;;0.3;2.7;1.9;;1.9;;1.2;26.72;25.7;0.17;0.8;1.94;10.08;636.3;2029.8;;;;
Block 1;72;7-546 6-11384;0;1.3;40000;Tochter1;nein;8;518.75;362.5;8.385;0.562;3.108;108.768;4.75;1.44;alt;0.00176;;10.43;22.63;38.93;1.26;8.63;;69.89;;291.08;61.68;10.81;133.03;104.64;;22.9;;10.18;0.93;0.31;0.77;0.54;0.67;;2.73;2.79;2.84;1.92;0.61;;28.37;23.3;0.15;0.4;3.54;0;1035.6;1994.5;;;;
Block 1;73;7-546 6-11372;0;1.3;40000;Tochter2;nein;8;518.75;362.5;8.385;0.562;3.108;108.768;4.75;1.44;alt;0.00176;;10.49;22.59;39.13;1.27;8.09;;69.9;;228.9;63.94;10.08;138.56;110.69;;27.89;;12.72;0.76;-0.05;0.79;0.24;0.69;0.4;1.17;0.83;2.92;1.34;0.84;;24.93;23.6;0.15;0.8;5.34;1.91;1247.6;2296.5;;;;
Block 1;74;7-574 6-11812;0;1.89;40000;Tochter1;nein;8;530;375;8.763;0.561;3.116;105.524;8.51;1.438;alt;0.00232;;10.6;22.35;40;1.32;7;;71;;232.08;64.38;11.34;136.59;107.8;58.17;24.2;13.52;11;0.77;0.2;0.58;0.5;0.64;0.38;2.7;2.5;2.59;2;0.59;0.9;27.79;22.96;0.46;1.72;11.16;9.01;615.4;1982.2;;;;
Block 1;75;7-574 6-11835;0;1.89;40000;Tochter2;nein;8;530;375;8.763;0.561;3.116;105.524;8.51;1.438;alt;0.00232;;10.09;21.75;38.4;1.3;7;;70.1;;244.57;63.18;10.24;136.1;107.6;57.75;23.7;13.13;10.66;0.79;0.17;0.68;0.5;0.64;0.3;2.6;2.2;2.8;1.97;0.58;0.9;28.35;24.6;0.33;1.08;4.3;2.69;741.72;2196;;;;
Block 1;76;7-575 6-11870;0;2.08;40000;Tochter1;nein;8;531.25;375;8.672;0.406;3.133;106.449;8.61;1.438;alt;0.00229;;10.26;21.9;37.2;1.23;6.6;;70.6;;270.5;61.78;9.99;133.2;105.5;56.86;23.2;13.11;10.9;0.6;0.2;0.53;0.5;0.6;0.26;2.86;2.2;2.83;1.9;0.56;0.8;28.09;24.25;0.22;0.57;1.14;7.95;1057.6;2155.9;;;;
Block 1;77;7-575 6-11991;0;2.08;40000;Tochter2;nein;8;531.25;375;8.672;0.406;3.133;106.449;8.61;1.438;alt;0.00229;;10.19;19.36;38.3;1.28;7.8;;69.6;;246.16;42.54;10.03;134.6;106.78;57.08;23.26;12.86;10.39;0.66;0.09;0.7;0.5;0.63;0.28;2.56;2.26;2.93;1.98;0.57;0.9;28.51;23.6;0.36;0.3;5.78;3.95;1003.8;2653.3;;;;
Block 1;78;7-576 6-11989;0;2.02;40000;Tochter1;nein;8;516.6;366.7;8.684;0.507;3.103;107.503;8.6;1.435;alt;0.00255;;9.6;20.5;35.35;1.25;7.9;;69.57;;245.28;42.54;9.58;135.2;106.87;57.27;24;13.3;10.8;0.78;0.3;0.71;0.5;0.64;0.3;3.29;2.9;2.61;1.9;0.59;0.9;27.76;23.75;0.42;0.36;7.53;5.02;809.37;1868.2;;;;
Block 1;79;7-576 6-12126;0;2.02;40000;Tochter2;nein;8;516.6;366.7;8.684;0.507;3.103;107.503;8.6;1.435;alt;0.00255;;10.3;22.3;39.28;1.29;6.9;;69.7;;274.69;;8.65;132.9;105.05;56.27;23.29;12.87;10.36;0.59;0.1;0.61;0.5;0.62;0.3;2.5;2.4;2.53;1.9;0.61;0.96;28.03;23.3;0.36;0;6.52;2.9;1150.8;2630;;;;
Block 1;80;7-578 6-12547;0;2.14;40000;Tochter1;nein;8;531.25;368.75;8.771;0.55;3.111;92.298;8.5;1.24;alt;0.00184;;10.47;22.67;39.8;1.3;7;;68.97;;270.7;61.94;8.48;133.07;105.86;56.71;23.1;12.67;10.07;0.7;0.01;0.52;0.48;0.61;0.3;1.6;1.3;2.09;1.75;0.44;0.76;28.55;23.29;0.46;1.49;6.97;1;900.23;1946.5;;;;
Block 1;81;7-578 6-12538;0;2.14;40000;Tochter2;nein;8;531.25;368.75;8.771;0.55;3.111;92.298;8.5;1.24;alt;0.00184;;9.6;20.4;36;1.28;6.8;;69.2;;241.5;;12.42;133.1;104.9;55.69;22.5;12.21;9.55;1.25;0.27;0.51;0.4;0.58;0.3;2.35;1.8;2.08;1.66;0.3;0.56;29.05;22.65;0.54;5.91;9.36;8.87;543.12;1575.6;;;;
Block 1;82;7-580 6-12587;0;2.01;40000;Tochter1;nein;8;544.4;369.4;8.524;0.427;3.101;101.147;8.48;1.431;alt;0.00211;;10.1;21.1;37;1.25;6.7;;70.4;;269.6;62.7;8.19;134.5;106.7;57;23.3;12.86;10.3;0.9;0.16;0.51;0.47;0.61;0.3;2.1;1.5;1.94;1.7;0.4;0.7;28.53;23.3;0.34;0;2.86;5.14;1054.4;2246.1;;;;
Block 1;83;7-580 6-12539;0;2.01;40000;Tochter2;nein;8;544.4;369.4;8.524;0.427;3.101;101.147;8.48;1.431;alt;0.00211;;9.8;20.6;35.68;1.24;5.79;;70.53;;255.95;;8.83;134.1;104.88;55.62;22.6;12.42;10;0.8;0.3;0.64;0.5;0.68;0.3;3.39;2.8;2.63;1.89;0.56;0.9;28.8;21.4;0.54;5.33;16.46;2.42;1044.5;2858.7;;;;
